x, y, z, qx, qy, qz, qw
-0.0312324300, -0.0000811237, 0.1149608000, 0.0197991100, 0.0002114320, 0.0211597500, 0.9995800000
-0.0312227800, -0.0000538061, 0.1149597000, 0.0198088900, 0.0001220703, 0.0211836800, 0.9995794000
-0.0312154200, -0.0000600184, 0.1149538000, 0.0197738800, 0.0001220703, 0.0211604600, 0.9995806000
-0.0312111300, -0.0001155265, 0.1149694000, 0.0197259700, 0.0001726335, 0.0211551800, 0.9995816000
-0.0312225400, -0.0001264768, 0.1149771000, 0.0197546600, 0.0001726335, 0.0211601100, 0.9995809000
-0.0312356600, -0.0000948360, 0.1149772000, 0.0197994900, 0.0001726335, 0.0211643300, 0.9995799000
-0.0312522700, -0.0000880783, 0.1149648000, 0.0197930900, 0.0001726335, 0.0211692600, 0.9995800000
-0.0312571500, -0.0000564297, 0.1149570000, 0.0198171700, 0.0001726335, 0.0211784100, 0.9995793000
-0.0312686400, -0.0000385154, 0.1149526000, 0.0198235600, 0.0002114320, 0.0211843900, 0.9995790000
-0.0312761200, -0.0000337914, 0.1149534000, 0.0197953500, 0.0001726335, 0.0211713700, 0.9995799000
-0.0312070000, -0.0001434695, 0.1149739000, 0.0196987600, 0.0001220703, 0.0211696100, 0.9995818000
-0.0311967100, -0.0001486323, 0.1149680000, 0.0197663500, 0.0001726335, 0.0211587000, 0.9995807000
-0.0311969000, -0.0000199124, 0.1149703000, 0.0198412100, 0.0001726335, 0.0211727800, 0.9995789000
-0.0312082800, -0.0000458198, 0.1149827000, 0.0197614500, 0.0001726335, 0.0211699600, 0.9995806000
-0.0311896300, -0.0000554666, 0.1149761000, 0.0138843900, 0.0001220703, 0.0148047700, 0.9997940000
-0.0311844900, -0.0000697878, 0.1150026000, 0.0079851150, 0.0000000000, 0.0084325760, 0.9999325000
-0.0311907300, -0.0000778946, 0.1149692000, 0.0080158470, 0.0000000000, 0.0084396410, 0.9999322000
-0.0312048200, -0.0000183522, 0.1149614000, 0.0080705010, 0.0000000000, 0.0084731220, 0.9999316000
-0.0312267400, -0.0000174255, 0.1149622000, 0.0080344160, 0.0000000000, 0.0084608020, 0.9999319000
-0.0312402200, -0.0000058858, 0.1149669000, 0.0080390510, 0.0000000000, 0.0084555170, 0.9999319000
-0.0312501200, -0.0000052949, 0.1149631000, 0.0080371960, 0.0000000000, 0.0084608020, 0.9999319000
-0.0312332300, -0.0000280186, 0.1149675000, 0.0079990990, 0.0000000000, 0.0084599220, 0.9999322000
-0.0312329500, -0.0000395705, 0.1149754000, 0.0080065470, 0.0000000000, 0.0084581600, 0.9999322000
-0.0312505500, -0.0000390267, 0.1149678000, 0.0080307050, 0.0000000000, 0.0084572800, 0.9999320000
-0.0312054900, -0.0000725304, 0.1149478000, 0.0079935080, 0.0000000000, 0.0084237360, 0.9999326000
-0.0312108100, -0.0000082591, 0.1149447000, 0.0080677300, 0.0000000000, 0.0084590410, 0.9999317000
-0.0312258400, 0.0000323740, 0.1149375000, 0.0080824930, 0.0000000000, 0.0084643240, 0.9999315000
-0.0311982600, -0.0000227125, 0.1149424000, 0.0079851150, 0.0000000000, 0.0084405240, 0.9999325000
-0.0312076800, -0.0000099329, 0.1149451000, 0.0080446100, 0.0000000000, 0.0084502290, 0.9999319000
-0.0312219900, -0.0000062556, 0.1149474000, 0.0080316330, 0.0000000000, 0.0084502290, 0.9999321000
-0.0312266100, -0.0000372710, 0.1149588000, 0.0079869810, 0.0000000000, 0.0084431720, 0.9999325000
-0.0312236900, -0.0000248121, 0.1149462000, 0.0080390510, 0.0000000000, 0.0084537550, 0.9999319000
-0.0312010700, -0.0001020215, 0.1149490000, 0.0079589470, 0.0000000000, 0.0084378760, 0.9999327000
-0.0312016700, -0.0000556306, 0.1149442000, 0.0080464610, 0.0000000000, 0.0084696040, 0.9999318000
-0.0311723700, -0.0000978780, 0.1149436000, 0.0079813820, 0.0000000000, 0.0084687240, 0.9999323000
-0.0311571600, -0.0001032614, 0.1149390000, 0.0080046860, 0.0000000000, 0.0084537550, 0.9999322000
-0.0311716700, -0.0001043226, 0.1149425000, 0.0080111990, 0.0000000000, 0.0084616830, 0.9999321000
-0.0311870200, -0.0001076637, 0.1149442000, 0.0080102680, 0.0000000000, 0.0084625630, 0.9999321000
-0.0311953500, -0.0000303780, 0.1149385000, 0.0080714240, 0.0000000000, 0.0084608020, 0.9999316000
-0.0312155800, -0.0000099757, 0.1149423000, 0.0080640350, 0.0000000000, 0.0084713630, 0.9999316000
-0.0312181100, 0.0000023619, 0.1149433000, 0.0080427570, 0.0000000000, 0.0084625630, 0.9999318000
-0.0312383800, 0.0000004688, 0.1149468000, 0.0080297780, 0.0000000000, 0.0084537550, 0.9999320000
-0.0312311900, 0.0000268526, 0.1149321000, 0.0080538660, 0.0000000000, 0.0084713630, 0.9999317000
-0.0312481100, 0.0000201756, 0.1149330000, 0.0080307050, 0.0000000000, 0.0084660840, 0.9999319000
-0.0312606100, 0.0000187129, 0.1149410000, 0.0080371960, 0.0001220703, 0.0084581600, 0.9999319000
-0.0312660700, -0.0000205876, 0.1149619000, 0.0079851150, 0.0000000000, 0.0084449370, 0.9999325000
-0.0312680600, 0.0000647462, 0.1149569000, 0.0080612630, 0.0000000000, 0.0084643240, 0.9999317000
-0.0312770300, 0.0000344078, 0.1149654000, 0.0080074780, 0.0000000000, 0.0084572800, 0.9999322000
-0.0312859600, 0.0000265962, 0.1149513000, 0.0080223510, 0.0000000000, 0.0084713630, 0.9999319000
-0.0312194900, 0.0000852152, 0.1149279000, 0.0080824930, 0.0000000000, 0.0084493470, 0.9999316000
-0.0312280600, 0.0000282702, 0.1149421000, 0.0079860480, 0.0000000000, 0.0084713630, 0.9999322000
-0.0312398600, -0.0000284698, 0.1149472000, 0.0079533280, 0.0000000000, 0.0084555170, 0.9999326000
-0.0312446800, -0.0000131458, 0.1149483000, 0.0080316330, 0.0000000000, 0.0084783970, 0.9999318000
-0.0312496900, -0.0000250038, 0.1149556000, 0.0079925770, 0.0000000000, 0.0084660840, 0.9999322000
-0.0312305300, -0.0000534711, 0.1149615000, 0.0079701730, 0.0000000000, 0.0084281570, 0.9999327000
-0.0312371600, -0.0000518060, 0.1149582000, 0.0080139880, 0.0000000000, 0.0084731220, 0.9999320000
-0.0312474600, -0.0000582797, 0.1149605000, 0.0079972360, 0.0000000000, 0.0084608020, 0.9999322000
-0.0312527300, -0.0000308113, 0.1149489000, 0.0080455360, 0.0000000000, 0.0084696040, 0.9999318000
-0.0312485000, -0.0000339595, 0.1149298000, 0.0080084080, 0.0000000000, 0.0084272730, 0.9999324000
-0.0312422900, -0.0000700185, 0.1149456000, 0.0079711070, 0.0000000000, 0.0084537550, 0.9999325000
-0.0312458500, -0.0000617279, 0.1149484000, 0.0080232800, 0.0000000000, 0.0084783970, 0.9999319000
-0.0312553600, -0.0000690369, 0.1149528000, 0.0080074780, 0.0000000000, 0.0084748800, 0.9999320000
-0.0312734900, -0.0000602998, 0.1149617000, 0.0080139880, 0.0000000000, 0.0084519920, 0.9999322000
-0.0313163500, 0.0004858965, 0.1148782000, 0.0082801110, 0.0001726335, 0.0084660840, 0.9999298000
-0.0313267600, 0.0002561002, 0.1149158000, 0.0079944400, 0.0000000000, 0.0084484650, 0.9999323000
-0.0313168300, 0.0002045343, 0.1149189000, 0.0079953730, 0.0000000000, 0.0084625630, 0.9999322000
-0.0312156000, 0.0001261837, 0.1149204000, 0.0079701730, 0.0000000000, 0.0083980470, 0.9999329000
-0.0311938900, 0.0000864992, 0.1149361000, 0.0079860480, 0.0000000000, 0.0084546360, 0.9999323000
-0.0312014700, 0.0000634004, 0.1149319000, 0.0080158470, 0.0000000000, 0.0084572800, 0.9999321000
-0.0312188200, 0.0000492989, 0.1149357000, 0.0080195650, 0.0000000000, 0.0084502290, 0.9999321000
-0.0311856700, 0.0000080546, 0.1149370000, 0.0079851150, 0.0000000000, 0.0084475830, 0.9999324000
-0.0311551000, 0.0000035473, 0.1148714000, 0.0080483140, 0.0000000000, 0.0084475830, 0.9999319000
-0.0311866500, -0.0000069545, 0.1148988000, 0.0080167760, 0.0000000000, 0.0084572800, 0.9999321000
-0.0311986900, 0.0000056666, 0.1149234000, 0.0080446100, 0.0000000000, 0.0084643240, 0.9999318000
-0.0312158100, -0.0000164178, 0.1149268000, 0.0080195650, 0.0000000000, 0.0084572800, 0.9999321000
-0.0311854900, -0.0000952105, 0.1149436000, 0.0079552020, 0.0000000000, 0.0084511110, 0.9999326000
-0.0311620100, -0.0001252713, 0.1149760000, 0.0079654970, 0.0000000000, 0.0084555170, 0.9999325000
-0.0311670300, -0.0001320863, 0.1149904000, 0.0080084080, 0.0000000000, 0.0084467010, 0.9999322000
-0.0311954700, -0.0000780086, 0.1149778000, 0.0080751150, 0.0000000000, 0.0084555170, 0.9999316000
-0.0311871200, -0.0000803103, 0.1149821000, 0.0080167760, 0.0000000000, 0.0084643240, 0.9999321000
-0.0311864700, -0.0000986085, 0.1149824000, 0.0080111990, 0.0000000000, 0.0084590410, 0.9999322000
-0.0312156200, -0.0000938746, 0.1149948000, 0.0080167760, 0.0000000000, 0.0084634440, 0.9999321000
-0.0312285900, -0.0000768506, 0.1149952000, 0.0080344160, 0.0000000000, 0.0084643240, 0.9999319000
-0.0311905300, -0.0001115033, 0.1149966000, 0.0080139880, 0.0000000000, 0.0083980470, 0.9999326000
-0.0312213700, -0.0001229315, 0.1149971000, 0.0079804490, 0.0001220703, 0.0084422890, 0.9999325000
-0.0312313400, -0.0001156021, 0.1149976000, 0.0080084080, 0.0000000000, 0.0084572800, 0.9999322000
-0.0312446400, -0.0001120597, 0.1149991000, 0.0080018930, 0.0000000000, 0.0084713630, 0.9999321000
-0.0312784600, -0.0001291456, 0.1150176000, 0.0079748450, 0.0000000000, 0.0084537550, 0.9999325000
-0.0312885600, -0.0001171466, 0.1150158000, 0.0080046860, 0.0000000000, 0.0084783970, 0.9999320000
-0.0312467700, -0.0001640316, 0.1149693000, 0.0079711070, 0.0000000000, 0.0084502290, 0.9999325000
-0.0312812900, -0.0001035757, 0.1149552000, 0.0080399770, 0.0001220703, 0.0084827890, 0.9999317000
-0.0313059400, -0.0000799300, 0.1149538000, 0.0080427570, 0.0001726335, 0.0084643240, 0.9999318000
-0.0313124600, -0.0000628649, 0.1149591000, 0.0080186350, 0.0000000000, 0.0084757590, 0.9999319000
-0.0312862400, -0.0000286227, 0.1149471000, 0.0080455360, 0.0000000000, 0.0084994600, 0.9999315000
-0.0312956800, -0.0000421344, 0.1149461000, 0.0079981680, 0.0000000000, 0.0084625630, 0.9999322000
-0.0313233200, 0.0000185336, 0.1149467000, 0.0080399770, 0.0001726335, 0.0084572800, 0.9999319000
-0.0313394300, 0.0000274379, 0.1149434000, 0.0080139880, 0.0001220703, 0.0084827890, 0.9999319000
-0.0313408800, 0.0000105623, 0.1149192000, 0.0079776480, 0.0001220703, 0.0084652040, 0.9999323000
-0.0313430200, -0.0000244560, 0.1149107000, 0.0079636270, 0.0001220703, 0.0084599220, 0.9999325000
-0.0313603400, -0.0000185301, 0.1149071000, 0.0080102680, 0.0001220703, 0.0084687240, 0.9999321000
-0.0313797600, 0.0000117882, 0.1149119000, 0.0080316330, 0.0001220703, 0.0084915670, 0.9999317000
-0.0313913000, 0.0000174517, 0.1148973000, 0.0080214220, 0.0000000000, 0.0084660840, 0.9999320000
-0.0313973800, 0.0000305861, 0.1148978000, 0.0080251370, 0.0001220703, 0.0084757590, 0.9999319000
-0.0313917400, 0.0000353528, 0.1148933000, 0.0080307050, 0.0001220703, 0.0084722420, 0.9999319000
-0.0314451800, 0.0000213028, 0.1149058000, 0.0079804490, 0.0001220703, 0.0084387590, 0.9999325000
-0.0314684300, 0.0000084318, 0.1149251000, 0.0079785820, 0.0001220703, 0.0084792750, 0.9999322000
-0.0314869300, 0.0000489134, 0.1149231000, 0.0080325600, 0.0001220703, 0.0084775170, 0.9999318000
-0.0314867600, 0.0000366713, 0.1149080000, 0.0079645620, 0.0001220703, 0.0084669650, 0.9999324000
-0.0315272500, 0.0000555667, 0.1149122000, 0.0080186350, 0.0001220703, 0.0084757590, 0.9999319000
-0.0315289300, 0.0000639805, 0.1148951000, 0.0079897790, 0.0002114320, 0.0084740010, 0.9999321000
-0.0315178700, 0.0000790577, 0.1148879000, 0.0080009620, 0.0001220703, 0.0084740010, 0.9999321000
-0.0315117400, 0.0000753517, 0.1148947000, 0.0079561380, 0.0001726335, 0.0084713630, 0.9999325000
-0.0315231200, 0.0000634024, 0.1149001000, 0.0079570750, 0.0001726335, 0.0084766380, 0.9999324000
-0.0315256000, 0.0001359117, 0.1149078000, 0.0080204930, 0.0001220703, 0.0084775170, 0.9999319000
-0.0315127000, 0.0001014717, 0.1149202000, 0.0079420790, 0.0001220703, 0.0084898130, 0.9999324000
-0.0315190400, 0.0001234780, 0.1149239000, 0.0130797600, 0.0001726335, 0.0138376300, 0.9998187000
-0.0315087900, 0.0001063494, 0.1149278000, 0.0181437700, 0.0002441406, 0.0191506500, 0.9996519000
-0.0315028600, 0.0005386380, 0.1148902000, 0.0183978200, 0.0001726335, 0.0192058200, 0.9996462000
-0.0314904900, 0.0006007843, 0.1148695000, 0.0183783700, 0.0002114320, 0.0192217100, 0.9996462000
-0.0314992800, 0.0008588085, 0.1148358000, 0.0184891200, 0.0002441406, 0.0192523100, 0.9996436000
-0.0314869400, 0.0010794200, 0.1148143000, 0.0185165000, 0.0001726335, 0.0192925200, 0.9996424000
-0.0314755000, 0.0007546223, 0.1148313000, 0.0182224400, 0.0002114320, 0.0191712600, 0.9996501000
-0.0314667100, 0.0005030420, 0.1148397000, 0.0180903100, 0.0001220703, 0.0191658200, 0.9996526000
-0.0314701300, 0.0004410020, 0.1148575000, 0.0182085400, 0.0002114320, 0.0191712600, 0.9996504000
-0.0314778900, 0.0003579077, 0.1148650000, 0.0181466500, 0.0002114320, 0.0192224900, 0.9996505000
-0.0314581900, 0.0001528014, 0.1149019000, 0.0180742400, 0.0002114320, 0.0191953400, 0.9996523000
-0.0314606500, 0.0002000107, 0.1149136000, 0.0182126300, 0.0002114320, 0.0191650400, 0.9996504000
-0.0314581600, 0.0001862361, 0.1149189000, 0.0181667500, 0.0002114320, 0.0191323600, 0.9996518000
-0.0314587900, 0.0001760630, 0.1149219000, 0.0181638800, 0.0002441406, 0.0191879600, 0.9996508000
-0.0314573100, 0.0002091284, 0.1149513000, 0.0182273500, 0.0002114320, 0.0192062000, 0.9996493000
-0.0314599100, 0.0002152587, 0.1149596000, 0.0182154900, 0.0002441406, 0.0191584300, 0.9996505000
-0.0314512700, 0.0002359314, 0.1149587000, 0.0181884800, 0.0001726335, 0.0191763100, 0.9996507000
-0.0314477200, 0.0001738106, 0.1149646000, 0.0181306300, 0.0002114320, 0.0192031000, 0.9996511000
-0.0314474900, 0.0001780687, 0.1149678000, 0.0181856100, 0.0001726335, 0.0191615400, 0.9996510000
-0.0314920800, 0.0001810113, 0.1149689000, 0.0181757700, 0.0002729575, 0.0191774800, 0.9996508000
-0.0314844800, 0.0002412477, 0.1149686000, 0.0182314400, 0.0001726335, 0.0191778600, 0.9996498000
-0.0314646200, 0.0002410412, 0.1149906000, 0.0181683900, 0.0001726335, 0.0191739800, 0.9996511000
-0.0314811800, 0.0002271081, 0.1149983000, 0.0181708500, 0.0002114320, 0.0191580400, 0.9996513000
-0.0314997300, 0.0001981778, 0.1150023000, 0.0181384300, 0.0002729575, 0.0191899000, 0.9996513000
-0.0314621700, 0.0001715633, 0.1150132000, 0.0181367900, 0.0002114320, 0.0191906800, 0.9996513000
-0.0314567400, 0.0001833016, 0.1150074000, 0.0181917500, 0.0001726335, 0.0191949500, 0.9996502000
-0.0314789900, 0.0001786932, 0.1150081000, 0.0181655200, 0.0002441406, 0.0191654300, 0.9996512000
-0.0315240200, 0.0001740517, 0.1150048000, 0.0181569100, 0.0002441406, 0.0191700900, 0.9996513000
-0.0315277200, 0.0001663311, 0.1150028000, 0.0181692100, 0.0002114320, 0.0191891300, 0.9996508000
-0.0315676400, 0.0002882724, 0.1150035000, 0.0181285700, 0.0001220703, 0.0192271400, 0.9996508000
-0.0315936100, 0.0003727612, 0.1150005000, 0.0179410100, 0.0000000000, 0.0190953200, 0.9996567000
-0.0316094500, 0.0005226702, 0.1148791000, 0.0169914700, -0.0001726335, 0.0179920200, 0.9996937000
-0.0315565900, 0.0005800668, 0.1147759000, 0.0177313200, 0.0001726335, 0.0177426600, 0.9996853000
-0.0306576000, -0.0221580000, 0.1167628000, 0.0227398400, 0.0040614760, 0.0170335100, 0.9995881000
-0.0302562100, -0.0308151500, 0.1181291000, 0.0299841100, 0.0059200950, 0.0165593200, 0.9993957000
-0.0279583300, -0.0297855500, 0.1189588000, 0.0364475500, 0.0070368000, 0.0185719500, 0.9991382000
-0.0277309000, -0.0134099900, 0.1191537000, 0.0405692400, 0.0089528400, 0.0230454400, 0.9988708000
-0.0274417100, -0.0129292600, 0.1193436000, 0.0360975300, 0.0104774500, 0.0292079800, 0.9988664000
-0.0273766500, 0.0065031570, 0.1175014000, 0.0244122300, 0.0138774100, 0.0403604400, 0.9987906000
-0.0270864500, 0.0082355160, 0.1173280000, 0.0198573500, 0.0158663200, 0.0443053000, 0.9986947000
-0.0274754700, 0.0115956300, 0.1159510000, 0.0257310800, 0.0197829300, 0.0530611400, 0.9980637000
-0.0273490400, 0.0106805900, 0.1157972000, 0.0319385900, 0.0216508800, 0.0587228000, 0.9975284000
-0.0274065900, 0.0113266000, 0.1161561000, 0.0387838000, 0.0237761500, 0.0648011700, 0.9968607000
-0.0267124100, -0.0033470550, 0.1190524000, 0.0392366300, 0.0254404600, 0.0698005300, 0.9964643000
-0.0262620000, -0.0149219900, 0.1223113000, 0.0366479400, 0.0267127700, 0.0734395800, 0.9962680000
-0.0284953100, 0.0275712200, 0.1212376000, 0.0334419200, 0.0276070600, 0.0762857400, 0.9961426000
-0.0310948700, 0.0464003200, 0.1195043000, 0.0300702100, 0.0275527600, 0.0773519400, 0.9961693000
-0.0327129300, 0.0598004000, 0.1188989000, 0.0273162200, 0.0267110900, 0.0770515100, 0.9962948000
-0.0356845400, 0.0626778900, 0.1187117000, 0.0261093500, 0.0260424900, 0.0775426100, 0.9963068000
